Link of Listing,Home Type,City,Post At,Address,Status,Price,Broker Name
https://www.zillow.com/homedetails/619-E-86th-St-Brooklyn-NY-11236/30768216_zpid/,MULTI_FAMILY,Brooklyn,23 hours ago,"619 E 86th St, Brooklyn, NY 11236",For Sale by Agent,"$1,299,500",Brooklyn Real Property Inc
https://www.zillow.com/homedetails/971-Ashford-St-Brooklyn-NY-11207/30648093_zpid/,MULTI_FAMILY,Brooklyn,Open: Sat. 11am-1pm,"971 Ashford Street, East New York, NY 11207",For Sale by Agent,"$850,000",1 Oak Real Estate Hub Inc
https://www.zillow.com/homedetails/2618-Avenue-D-Brooklyn-NY-11226/30669156_zpid/,MULTI_FAMILY,Brooklyn,1 day on Zillow,"2618 Avenue D, Flatbush, NY 11226",For Sale by Agent,"$1,200,000",Keller Williams Landmark II
https://www.zillow.com/homedetails/1941-Fulton-St-Brooklyn-NY-11233/30600779_zpid/,MULTI_FAMILY,Brooklyn,Video Walkthrough,"1941 Fulton Street, Stuyvesant Heights, NY 11233",For Sale by Agent,"$1,499,000",Century 21 AA Realty
https://www.zillow.com/homedetails/138-Stockholm-St-Brooklyn-NY-11221/83049497_zpid/,MULTI_FAMILY,Brooklyn,1 day on Zillow,"138 Stockholm Street, Bushwick, NY 11221",For Sale by Agent,"$1,649,000",Great Success Realty Inc
https://www.zillow.com/homedetails/835-Barbey-St-Brooklyn-NY-11207/30647696_zpid/,MULTI_FAMILY,Brooklyn,23 hours ago,"835 Barbey St, Brooklyn, NY 11207",For Sale by Agent,"$499,999",5 Boro Realty Corp
https://www.zillow.com/homedetails/8664-25th-Ave-Brooklyn-NY-11214/30729921_zpid/,MULTI_FAMILY,Brooklyn,2 hours ago,"8664 25th Ave, Brooklyn, NY 11214",For Sale by Agent,"$1,399,000",Weichert Realtors Evolution Gr
https://www.zillow.com/homedetails/78-Eldert-St-Brooklyn-NY-11207/30630078_zpid/,MULTI_FAMILY,Brooklyn,46 minutes ago,"78 Eldert St, Brooklyn, NY 11207",For Sale by Agent,"$1,480,000","Grandeur Realty, Inc."
https://www.zillow.com/homedetails/3623-Avenue-T-Brooklyn-NY-11234/30785815_zpid/,SINGLE_FAMILY,Brooklyn,1 hour ago,"3623 Avenue T, Brooklyn, NY 11234",For Sale by Agent,"$1,499,999",Douglas Elliman
https://www.zillow.com/homedetails/1248-E-38th-St-Brooklyn-NY-11210/143022138_zpid/,MULTI_FAMILY,Brooklyn,10 hours ago,"1248 E 38th St, Brooklyn, NY 11210",For Sale by Agent,"$850,000",J Dadd Realty LLC
https://www.zillow.com/homedetails/699-Lafayette-Ave-MF-Brooklyn-NY-11221/2053273810_zpid/,MULTI_FAMILY,Brooklyn,Open: Sun. 11am-1pm,"699 Lafayette Ave #MF, Brooklyn, NY 11221",For Sale by Agent,"$2,445,000",Massada Home Sales
https://www.zillow.com/homedetails/361-New-Jersey-Ave-Brooklyn-NY-11207/30634517_zpid/,MULTI_FAMILY,Brooklyn,17 hours ago,"361 New Jersey Avenue, East New York, NY 11207",For Sale by Agent,"$1,200,000",Winzone Realty Inc
https://www.zillow.com/homedetails/77-Vermont-St-Brooklyn-NY-11207/112498671_zpid/,LOT,Brooklyn,14 hours ago,"77 Vermont Street, East New York, NY 11207",For Sale by Agent,"$389,000",Douglas Elliman Real Estate
https://www.zillow.com/homedetails/1670-E-51st-St-Brooklyn-NY-11234/30764436_zpid/,SINGLE_FAMILY,Brooklyn,Open: Sun. 1:30am-3:30pm,"1670 E 51st St, Brooklyn, NY 11234",For Sale by Agent,"$799,900",RE/MAX Edge
https://www.zillow.com/homedetails/360-Hancock-St-Brooklyn-NY-11216/30610534_zpid/,MULTI_FAMILY,Brooklyn,Open: Sun. 12-1pm,"360 Hancock St, Brooklyn, NY 11216",For Sale by Agent,"$2,999,000",SERHANT.
https://www.zillow.com/homedetails/1757-Coleman-St-Brooklyn-NY-11234/30765122_zpid/,SINGLE_FAMILY,Brooklyn,Open: Sun. 1-3pm,"1757 Coleman St, Brooklyn, NY 11234",For Sale by Agent,"$959,000",Tracey Real Estate
