Link of Listing,Home Type,City,Address,Status,Price,Broker Name
https://www.zillow.com/homedetails/789-Macdonough-St-APT-4G-Brooklyn-NY-11233/245067349_zpid/,CONDO,Brooklyn,"789 Macdonough St APT 4G, Brooklyn, NY 11233",For Sale by Agent,"$185,000",Brown Harris Stevens
https://www.zillow.com/homedetails/1075-Ocean-Pkwy-APT-1C-Brooklyn-NY-11230/245063408_zpid/,CONDO,Brooklyn,"1075 Ocean Pkwy APT 1C, Brooklyn, NY 11230",For Sale by Agent,"$215,000",MadisonEstates Sothebys Realty
https://www.zillow.com/homedetails/1124-E-51st-St-Brooklyn-NY-11234/30758138_zpid/,SINGLE_FAMILY,Brooklyn,"1124 E 51st St, Brooklyn, NY 11234",For Sale by Agent,"$799,000",OneSpace Realty Group LLC
https://www.zillow.com/homedetails/2138-Coleman-St-Brooklyn-NY-11234/30786755_zpid/,SINGLE_FAMILY,Brooklyn,"2138 Coleman St, Brooklyn, NY 11234",For Sale by Agent,"$699,000",Talk of the Town Realty
https://www.zillow.com/homedetails/544-Hinsdale-St-Brooklyn-NY-11207/30635827_zpid/,MULTI_FAMILY,Brooklyn,"544 Hinsdale St, Brooklyn, NY 11207",For Sale by Agent,"$848,000",Remax Edge
https://www.zillow.com/homedetails/23-Brevoort-Pl-Brooklyn-NY-11216/2103747260_zpid/,MULTI_FAMILY,Brooklyn,"23 Brevoort Pl, Brooklyn, NY 11216",For Sale by Agent,"$1,488,000",Douglas Elliman
https://www.zillow.com/homedetails/1750-E-14th-St-APT-L4-Brooklyn-NY-11229/245034964_zpid/,CONDO,Brooklyn,"1750 E 14 Street E UNIT L4, Homecrest, NY 11229",For Sale by Agent,"$265,000",RE/MAX Distinguished Hms.&Prop
https://www.zillow.com/homedetails/563-E-55th-St-Brooklyn-NY-11203/30656414_zpid/,SINGLE_FAMILY,Brooklyn,"563 E 55th St, Brooklyn, NY 11203",For Sale by Agent,"$799,000",My Home Advisors
https://www.zillow.com/homedetails/2177-E-19th-St-Brooklyn-NY-11229/30744641_zpid/,SINGLE_FAMILY,Brooklyn,"2177 E 19th St, Brooklyn, NY 11229",For Sale by Agent,"$1,020,000",Madison Estates Sotheby's International Realty
https://www.zillow.com/homedetails/2650-Ocean-Pkwy-APT-10P-Brooklyn-NY-11235/245051127_zpid/,CONDO,Brooklyn,"2650 Ocean Pkwy APT 10P, Brooklyn, NY 11235",For Sale by Agent,"$465,000",Remax Edge
https://www.zillow.com/homedetails/1023-Union-St-Brooklyn-NY-11225/30590897_zpid/,SINGLE_FAMILY,Brooklyn,"1023 Union St, Brooklyn, NY 11225",For Sale by Agent,"$1,050,000",Corcoran
