Link of Listing,Home Type,Address,Status,Price,Broker Name
https://www.zillow.com/homedetails/126-E-46th-St-Brooklyn-NY-11203/30657805_zpid/,MULTI_FAMILY,"126 E 46th St, Brooklyn, NY 11203",For Sale by Agent,"$899,000 ",Hot Homes Realty LLC.
https://www.zillow.com/homedetails/66-Bay-22-St-Brooklyn-NY-11214/30712308_zpid/,MULTI_FAMILY,"66 Bay 22 St, Brooklyn, NY 11214",For Sale by Agent,"$1,200,000 ",eXp Realty BKNY
https://www.zillow.com/homedetails/260-Hicks-St-Brooklyn-NY-11201/2054252491_zpid/,TOWNHOUSE,"260 Hicks Street, Brooklyn Heights, NY 11201",For Sale by Agent,"$2,500,000 ",EXP Realty
https://www.zillow.com/homedetails/269-Bay-8th-St-APT-2R-Brooklyn-NY-11228/2053608530_zpid/,CONDO,"269 Bay 8th St APT 2R, Brooklyn, NY 11228",For Sale by Agent,"$629,000 ",eXp Realty BKNY
https://www.zillow.com/homedetails/591-4th-St-Brooklyn-NY-11215/30587535_zpid/,SINGLE_FAMILY,"591 4th St, Brooklyn, NY 11215",For Sale by Agent,"$3,950,000 ",Douglas Elliman
https://www.zillow.com/homedetails/465-Saint-Johns-Pl-Brooklyn-NY-11238/30590797_zpid/,TOWNHOUSE,"465 Saint Johns Pl, Brooklyn, NY 11238",For Sale by Agent,"$2,999,000 ",SERHANT.
https://www.zillow.com/homedetails/100-Remsen-St-APT-3F-Brooklyn-NY-11201/245062543_zpid/,CONDO,"100 Remsen St APT 3F, Brooklyn, NY 11201",For Sale by Agent,"$370,000 ",Corcoran
https://www.zillow.com/homedetails/595-Glenmore-Ave-Brooklyn-NY-11207/30638650_zpid/,SINGLE_FAMILY,"595 Glenmore Avenue, East New York, NY 11207",Non Owner Occupied,"$314,900 ",Liberty Chateau Realty Inc
https://www.zillow.com/homedetails/770-E-45th-St-Brooklyn-NY-11203/30662060_zpid/,SINGLE_FAMILY,"770 E 45th St, Brooklyn, NY 11203",For Sale by Agent,"$899,000 ",Compass
https://www.zillow.com/homedetails/376-President-St-APT-3K-Brooklyn-NY-11231/30572578_zpid/,CONDO,"376 President St APT 3K, Brooklyn, NY 11231",For Sale by Agent,"$1,299,000 ",Compass
https://www.zillow.com/homedetails/4413-Avenue-M-Brooklyn-NY-11234/30762766_zpid/,SINGLE_FAMILY,"4413 Avenue M, Brooklyn, NY 11234",For Sale by Agent,"$250,000 ",SOWAE CORP
https://www.zillow.com/homedetails/508-Lexington-Ave-APT-2-Brooklyn-NY-11221/2059540409_zpid/,CONDO,"508 Lexington Ave APT 2, Brooklyn, NY 11221",For Sale by Agent,"$695,000 ",Corcoran
https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,TOWNHOUSE,"18 Prospect Park W, Brooklyn, NY 11215",For Sale by Agent,"$13,995,000 ",Compass
https://www.zillow.com/homedetails/202-Maple-St-Brooklyn-NY-11225/30664683_zpid/,SINGLE_FAMILY,"202 Maple St, Brooklyn, NY 11225",For Sale by Agent,"$2,249,000 ",Douglas Elliman
https://www.zillow.com/homedetails/215-E-9th-St-Brooklyn-NY-11218/30674072_zpid/,SINGLE_FAMILY,"215 E 9th St, Brooklyn, NY 11218",For Sale by Agent,"$1,465,000 ",Compass
https://www.zillow.com/homedetails/1059-New-York-Ave-Brooklyn-NY-11203/30660158_zpid/,MULTI_FAMILY,"1059 New York Ave, Brooklyn, NY 11203",For Sale by Agent,"$750,000 ",Corcoran
https://www.zillow.com/homedetails/1128-Ovington-Ave-Brooklyn-NY-11219/30690396_zpid/,MULTI_FAMILY,"1128 Ovington Ave, Brooklyn, NY 11219",For Sale by Agent,"$1,390,000 ","Block & Lot Real Estate Services, Inc."
https://www.zillow.com/homedetails/341-Bradford-St-A-Brooklyn-NY-11207/2053521346_zpid/,MULTI_FAMILY,"341 Bradford St #A, Brooklyn, NY 11207",For Sale by Agent,"$1,245,500 ",Keystone Realty USA Corp
https://www.zillow.com/homedetails/287-E-34th-St-Brooklyn-NY-11203/30659505_zpid/,SINGLE_FAMILY,"287 E 34th St, Brooklyn, NY 11203",For Sale by Agent,"$649,000 ",Panache Realty Co
https://www.zillow.com/homedetails/632-E-52nd-St-Brooklyn-NY-11203/30655784_zpid/,MULTI_FAMILY,"632 E 52nd St, Brooklyn, NY 11203",For Sale by Agent,"$699,000 ",Compass
https://www.zillow.com/homedetails/146-Newel-St-Brooklyn-NY-11222/30620811_zpid/,TOWNHOUSE,"146 Newel St, Brooklyn, NY 11222",For Sale by Agent,"$3,975,000 ",Douglas Elliman
https://www.zillow.com/homedetails/303-Van-Brunt-St-1-Brooklyn-NY-11231/2054741253_zpid/,MULTI_FAMILY,"303 Van Brunt St #1, Brooklyn, NY 11231",For Sale by Agent,"$1,895,000 ",Compass
https://www.zillow.com/homedetails/1019-Union-St-Brooklyn-NY-11225/30590900_zpid/,SINGLE_FAMILY,"1019 Union St, Brooklyn, NY 11225",For Sale by Agent,"$1,950,000 ",Platt New York
https://www.zillow.com/homedetails/1462-E-23rd-St-Brooklyn-NY-11210/30755470_zpid/,SINGLE_FAMILY,"1462 E 23rd St, Brooklyn, NY 11210",For Sale by Agent,"$799,000 ",Behfar Team LLC
https://www.zillow.com/homedetails/265-Clarkson-Ave-Brooklyn-NY-11226/30665693_zpid/,MULTI_FAMILY,"265 Clarkson Ave, Brooklyn, NY 11226",For Sale by Agent,"$1,895,000 ",Corcoran
https://www.zillow.com/homedetails/2519-Mill-Ave-Brooklyn-NY-11234/30788982_zpid/,SINGLE_FAMILY,"2519 Mill Ave, Brooklyn, NY 11234",For Sale by Agent,"$675,000 ",Talk of the Town Realty
https://www.zillow.com/homedetails/69-Bay-25-St-Brooklyn-NY-11214/30712430_zpid/,SINGLE_FAMILY,"69 Bay 25 St, Brooklyn, NY 11214",For Sale by Agent,"$1,450,000 ",Remax Edge
https://www.zillow.com/homedetails/481-E-18th-St-Brooklyn-NY-11226/30668356_zpid/,SINGLE_FAMILY,"481 E 18th St, Brooklyn, NY 11226",For Sale by Agent,"$2,650,000 ",Compass
https://www.zillow.com/homedetails/4211-Snyder-Ave-Brooklyn-NY-11203/30659832_zpid/,SINGLE_FAMILY,"4211 Snyder Ave, Brooklyn, NY 11203",For Sale by Agent,"$550,000 ",Oxford Property Group
https://www.zillow.com/homedetails/38-Monroe-Pl-Brooklyn-NY-11201/245521711_zpid/,SINGLE_FAMILY,"38 Monroe Pl, Brooklyn, NY 11201",For Sale by Agent,"$14,000,000 ",Compass
https://www.zillow.com/homedetails/2326-85th-St-Brooklyn-NY-11214/30729605_zpid/,SINGLE_FAMILY,"2326 85th St, Brooklyn, NY 11214",For Sale by Agent,"$980,000 ",ProBase Real Estate
https://www.zillow.com/homedetails/1670-E-51st-St-Brooklyn-NY-11234/30764436_zpid/,SINGLE_FAMILY,"1670 E 51st St, Brooklyn, NY 11234",For Sale by Agent,"$799,900 ",RE/MAX Edge
https://www.zillow.com/homedetails/259-New-York-Ave-Brooklyn-NY-11216/30592912_zpid/,TOWNHOUSE,"259 New York Ave, Brooklyn, NY 11216",For Sale by Agent,"$2,650,000 ",SERHANT.
https://www.zillow.com/homedetails/2608-Haring-St-Brooklyn-NY-11235/30750199_zpid/,MULTI_FAMILY,"2608 Haring St, Brooklyn, NY 11235",For Sale by Agent,"$1,175,000 ",Remax Edge
https://www.zillow.com/homedetails/198-Jefferson-St-Brooklyn-NY-11206/2057541094_zpid/,MULTI_FAMILY,"198 Jefferson St, Brooklyn, NY 11206",For Sale by Agent,"$950,000 ",Level Group
https://www.zillow.com/homedetails/921-E-98th-St-Brooklyn-NY-11236/30773449_zpid/,SINGLE_FAMILY,"921 E 98th St, Brooklyn, NY 11236",For Sale by Agent,"$799,000 ",Keystone Realty USA Corp
https://www.zillow.com/homedetails/253-E-7th-St-MF-Brooklyn-NY-11218/2053518119_zpid/,MULTI_FAMILY,"253 E 7th St #MF, Brooklyn, NY 11218",For Sale by Agent,"$1,999,000 ",Compass
https://www.zillow.com/homedetails/1278-E-56th-St-Brooklyn-NY-11234/30762550_zpid/,MULTI_FAMILY,"1278 E 56th St, Brooklyn, NY 11234",For Sale by Agent,"$799,999 ",Budget Real Estate NYC Inc
https://www.zillow.com/homedetails/1527-McDonald-Ave-Brooklyn-NY-11230/30717871_zpid/,MULTI_FAMILY,"1527 McDonald Ave, Brooklyn, NY 11230",For Sale by Agent,"$1,200,000 ",Momentum Real Estate LLC
https://www.zillow.com/homedetails/405-Kosciuszko-St-123-Brooklyn-NY-11221/2055029904_zpid/,MULTI_FAMILY,"405 Kosciuszko St #123, Brooklyn, NY 11221",For Sale by Agent,"$1,599,999 ",Compass
https://www.zillow.com/homedetails/3724-Flatlands-Ave-Brooklyn-NY-11234/2107208912_zpid/,MULTI_FAMILY,"3724 Flatlands Ave, Brooklyn, NY 11234",For Sale by Agent,"$998,000 ",Remax Edge
https://www.zillow.com/homedetails/224-Grant-Ave-Brooklyn-NY-11208/30643044_zpid/,MULTI_FAMILY,"224 Grant Ave, Brooklyn, NY 11208",For Sale by Agent,"$1,495,000 ",Keystone Realty USA Corp
https://www.zillow.com/homedetails/8200-Narrows-Ave-Brooklyn-NY-11209/2055498508_zpid/,TOWNHOUSE,"8200 Narrows Ave, Brooklyn, NY 11209",For Sale by Agent,"$8,750,000 ",Brown Harris Stevens
https://www.zillow.com/homedetails/360-Hancock-St-Brooklyn-NY-11216/30610534_zpid/,MULTI_FAMILY,"360 Hancock St, Brooklyn, NY 11216",For Sale by Agent,"$2,999,000 ",SERHANT.
https://www.zillow.com/homedetails/4208-Sea-Gate-Ave-Brooklyn-NY-11224/30732502_zpid/,SINGLE_FAMILY,"4208 Sea Gate Ave, Brooklyn, NY 11224",For Sale by Agent,"$705,000 ",EXP Realty NYC
https://www.zillow.com/homedetails/284-Sullivan-Pl-Brooklyn-NY-11225/30594729_zpid/,SINGLE_FAMILY,"284 Sullivan Pl, Brooklyn, NY 11225",For Sale by Agent,"$1,149,000 ",Remax Real Estate Professionals
https://www.zillow.com/homedetails/2660-Mill-Ave-Brooklyn-NY-11234/30788667_zpid/,SINGLE_FAMILY,"2660 Mill Ave, Brooklyn, NY 11234",For Sale by Agent,"$800,000 ",Superior Realty Service
https://www.zillow.com/homedetails/976-Ocean-Ave-Brooklyn-NY-11226/30669045_zpid/,SINGLE_FAMILY,"976 Ocean Ave, Brooklyn, NY 11226",For Sale by Agent,"$1,848,000 ",Ben Bay Realty Co
https://www.zillow.com/homedetails/466-Henry-St-Brooklyn-NY-11231/30569120_zpid/,MULTI_FAMILY,"466 Henry St, Brooklyn, NY 11231",For Sale by Agent,"$3,995,000 ",Compass
